"","ID","numberOfCliques","cliqueID","cliqueStructure","cliqueSize"
"372","SR6430738",3,0,"1,2",2
"373","SR6430738",3,1,"4,5",2
"374","SR6430738",3,2,"0,3",2
"375","SR6710552",2,0,"2,5",2
"376","SR6710552",2,1,"6",1
"377","SR6730882",2,0,"0",1
"378","SR6730882",2,1,"1,2",2
"379","SR7000549",1,0,"0,1,2,5",4
"380","SR7430997",6,0,"0",1
"381","SR7430997",6,1,"1,2",2
"382","SR7430997",6,2,"3",1
"383","SR7430997",6,3,"4",1
"384","SR7430997",6,4,"5",1
"385","SR7430997",6,5,"6,7",2
"386","SR7610304",1,0,"2",1
"387","SR7630009",5,0,"0",1
"388","SR7630009",5,1,"1",1
"389","SR7630009",5,2,"2",1
"390","SR7630009",5,3,"3",1
"391","SR7830383",1,0,"0,1,2,3",4
"392","SR7870464",1,0,"0,1,2,3",4
"393","SR8170054",1,0,"0,1",2
"394","SR8250121",3,0,"0,1",2
"395","SR8250121",3,1,"3,4,5",3
"396","SR8250121",3,2,"2",1
"397","SR8380535",2,0,"0,4",2
"398","SR8380535",2,1,"1,3",2
"399","SR8400344",1,0,"2",1
"400","SR8610697",6,0,"0,7,8,9",4
"401","SR8610697",6,1,"7,13,14",3
"402","SR8610697",6,2,"7,15",2
"403","SR8610697",6,3,"7,15,16",3
"404","SR8610697",6,4,"10,11,12",3
"405","SR8610697",6,5,"16,17,18",3
"406","SR8670799",1,0,"0",1
"407","SR9010258",3,0,"1,2,3,4,5,6,7",7
"408","SR9010258",3,1,"8,9,10",3
"409","SR9010258",3,2,"0,11,12",3
"410","SR9020593",1,0,"0,1,2",3
"411","SR9200558",1,0,"5",1
"412","SR9430095",1,0,"5,6,7,15,27",5
"413","SR9850487",2,0,"0",1
"414","SR9850487",2,1,"1",1
